NombreComun,count
Culebra cola corta,1
Lagartija esbelta o tenue,1
Ratón lanudo común,1
Peuquito,1
Churrín de la Mocha,1
Tórtolita cuyana,1
Fio-Fio,1
Garza Blanca,1
Cisnes CN,1
Pocha del sur,1
Águila,1
Pato colorad,1
Ranita de antifas,1
Rata común,1
Tórtola común,1
Halcon perdiguero,1
Tórtola cuyana,1
Bragecito,1
Tollo de agua dulce,1
Cheirodon galusdae,1
Percilia irwini,1
Trichomycterus areolatus,1
Basilichthys microlepidotus,1
Gambusia holbrooki,1
Pez Mosquito,1
Botón de oro,1
Diente de león,1
Verbena,1
Pimpinela azul,1
Papiro,1
Mitrún,1
Eucalipto,1
Arveja silvestre,1
Aguja del pastor,1
Dedal de oro,1
Palito negro,1
Berro amarillo,1
Palqui,1
Clonqui,1
Lupino,1
Tomatillo,1
Hinojo,1
Jergón Grande,1
Chorlo de Collar,1
Trucha,1
Halcón peregrino,1
Lagomorfo indeterminado,1
Bailarín chico pálido,1
Charcan de las vegas,1
Colilarga,1
Gaviota  andina,1
Bollén,1
Corcolén,1
Escalonia,1
Espino,1
s/i,1
Rata,1
Murciélago escarchado sudamericano,1
Murcielago ceniciento,1
Golodrina chilena,1
Halcón peregrino?,1
Bisbita pálido,1
Zorro,1
Ave,1
Personas,1
Insectos,1
Huemul,1
Pato,1
pato,1
Blanquillo comun,1
Coipo,1
Cisne Coscoroba,1
Guaco,1
Cometocino Patagónico,1
Pato Jergón chico,1
Águila mora,1
rayadito,1
peuco,1
bailarín chico,1
bailarín,1
becacina,1
Cometocino de Gay,1
Bandurrilla de los bosques,1
Caprino,1
Cerdo,1
Minero,1
Chingue,1
Escorpión,1
churrin del norte,1
colegial,1
dormilona tontia,1
